question,option0,option1,option2,correctIndex,difficulty,era,region
"Ryan Gosling received an Oscar nomination for playing which character in the 2023 'Barbie' movie?","Ken","Alan","CEO of Mattel",0,"Easy","Modern","Domestic"
"Quentin Tarantino made his directorial debut with which 1992 independent crime film?","Reservoir Dogs","Pulp Fiction","Jackie Brown",0,"Easy","90s","Domestic"
"Which 2019 Tarantino film serves as a love letter to 1960s Los Angeles?","Once Upon a Time in Hollywood","The Hateful Eight","Django Unchained",0,"Medium","Modern","Domestic"
"Rachel McAdams played the 'Queen Bee' Regina George in which 2004 teen comedy?","Mean Girls","The Hot Chick","Saved!",0,"Easy","Modern","Domestic"
"In which 2004 romantic drama did Rachel McAdams star alongside Ryan Gosling?","The Notebook","About Time","The Vow",0,"Easy","Modern","Domestic"
"Michael B. Jordan played the antagonist Erik Killmonger in which Marvel film?","Black Panther","Fantastic Four","Black Widow",0,"Easy","Modern","Domestic"
"In which film franchise does Michael B. Jordan play the son of Apollo Creed?","Creed","Rocky","Southpaw",0,"Easy","Modern","Domestic"
"Stunt coordinator Wade Eastwood is famous for his collaboration with Tom Cruise on which franchise?","Mission: Impossible","Fast & Furious","John Wick",0,"Medium","Modern","International"
"Wade Eastwood served as the stunt coordinator for which 2014 Tom Cruise sci-fi film?","Edge of Tomorrow","Oblivion","Minority Report",0,"Hard","Modern","International"
"Legendary stuntman Vic Armstrong served as the stunt double for which actor in the original 'Indiana Jones' trilogy?","Harrison Ford","Sean Connery","John Rhys-Davies",0,"Hard","80s","Domestic"
"Vic Armstrong directed the action sequences for which 1991 Arnold Schwarzenegger film?","Terminator 2: Judgment Day","Total Recall","True Lies",0,"Director Cut","90s","Domestic"
"Which 2014 film, shot over 12 years with the same cast, lost the Best Picture Oscar to 'Birdman'?","Boyhood","Whiplash","The Grand Budapest Hotel",0,"Hard","Modern","Domestic"
"In 'The Lighthouse' (2019), what is the specific aspect ratio used by Robert Eggers?","1.19:1","1.33:1","1.66:1",0,"Hard","Modern","Domestic"
"Which 2020 David Fincher film about the writing of 'Citizen Kane' was shot entirely in monochromatic high-dynamic-range?","Mank","The Killer","Gone Girl",0,"Hard","Modern","Domestic"
"Who was the first woman of color to win the Academy Award for Best Director?","Chloé Zhao","Emerald Fennell","Greta Gerwig",0,"Hard","Modern","Domestic"
"In 'Uncut Gems', what type of rare gemstone is Howard Ratner obsessed with?","Black Opal","Pink Diamond","Blue Sapphire",0,"Hard","Modern","Domestic"
"Which 2016 film uses a 'triptych' structure to tell the story of Chiron across three stages of his life?","Moonlight","If Beale Street Could Talk","Waves",0,"Hard","Modern","Domestic"
"Which cinematographer won three consecutive Oscars for 'Gravity', 'Birdman', and 'The Revenant'?","Emmanuel Lubezki","Roger Deakins","Robert Richardson",0,"Hard","Modern","Domestic"
"In 'Tenet', what is the name of the scientific concept used to explain 'time-inverted' objects?","Entropy","Enthalpy","Recursion",0,"Hard","Modern","Domestic"
"Which 2017 film was the first animated feature to be nominated for Best Documentary at the Oscars?","Flee","Tower","Waltz with Bashir",1,"Hard","Modern","Domestic"
"In 'Midsommar', the Hårga community celebrates a festival that only occurs every how many years?","90 years","50 years","100 years",0,"Hard","Modern","Domestic"
"Which 2015 film was the first to be shot entirely on an iPhone 5S to achieve a specific aesthetic?","Tangerine","The Florida Project","Red Rocket",0,"Hard","Modern","Domestic"
"What is the name of the fictional language created for the aliens in 'Arrival' (2016)?","Heptapod B","Logogram 7","Universal Glyph",0,"Hard","Modern","Domestic"
"Which 2019 film features a 17-minute single-take sequence involving a hospital shootout?","Extraction","1917","Athena",0,"Hard","Modern","Domestic"
"In 'Inside Llewyn Davis', what is the name of the cat that the protagonist accidentally takes?","Ulysses","Lancelot","Orpheus",0,"Hard","Modern","Domestic"
"Which 2023 film by Jonathan Glazer depicts the domestic life of Rudolf Höss next to Auschwitz?","The Zone of Interest","Son of Saul","The Grey Zone",0,"Hard","Modern","Domestic"
"In 'Whiplash', what is the name of the jazz standard Andrew Neiman struggles to play at a high tempo?","Whiplash","Caravan","Moanin'",1,"Hard","Modern","Domestic"
"Which 2014 horror film uses an entity that only moves at a walking pace to create dread?","It Follows","The Babadook","Hereditary",0,"Hard","Modern","Domestic"
"What film editing technique is famously used throughout 'Everything Everywhere All at Once' to bridge universes?","Match Cut","Jump Cut","Cross-cutting",0,"Hard","Modern","Domestic"
"In 'The Social Network', who provided the Academy Award-winning electronic score?","Trent Reznor & Atticus Ross","Hans Zimmer","Daft Punk",0,"Hard","Modern","Domestic"
"Which 2018 South Korean film is an adaptation of Haruki Murakami's short story 'Barn Burning'?","Burning","Poetry","The Wailing",0,"Hard","Modern","International"
"In 'Drive My Car' (2021), the protagonist is directing a multilingual production of which play?","Uncle Vanya","Waiting for Godot","Hamlet",0,"Hard","Modern","International"
"Which 2015 Hungarian film about the Holocaust used extreme close-ups and shallow depth of field?","Son of Saul","The Notebook","White God",0,"Hard","Modern","International"
"Which 2009 Greek film follows a family living in isolation behind a high fence?","Dogtooth","Attenberg","Alps",0,"Hard","Modern","International"
"In 'The Handmaiden' (2016), the story is told in how many distinct parts with shifting perspectives?","Three","Two","Four",0,"Hard","Modern","International"
"Which 2022 Pakistani film became the first from its country to be shortlisted for the Best International Feature Oscar?","Joyland","The Legend of Maula Jatt","Zindagi Tamasha",0,"Hard","Modern","International"
"Which 2019 French film depicts the 18th-century romance between a painter and her subject?","Portrait of a Lady on Fire","Blue is the Warmest Color","The Taste of Things",0,"Hard","Modern","International"
"In 'Cold War' (2018), Pawel Pawlikowski shot the film in which visual format?","Black and White 4:3","Color 1.85:1","Black and White CinemaScope",0,"Hard","Modern","International"
"Which 2003 French film is an animated tribute to 1920s music hall and cycling?","The Triplets of Belleville","Persepolis","I Lost My Body",0,"Hard","Modern","International"
"Which 2014 Swedish film features a family at a ski resort facing the aftermath of a controlled avalanche?","Force Majeure","The Square","Triangle of Sadness",0,"Hard","Modern","International"
"In 'Memoria' (2021), Tilda Swinton's character is haunted by what specific phenomenon?","A loud 'thump' sound","A recurring vision","A lost memory",0,"Hard","Modern","International"
"Which 2013 Cambodian film uses hand-carved wooden figurines to depict the Khmer Rouge regime?","The Missing Picture","First They Killed My Father","S-21",0,"Hard","Modern","International"
"Which 2010 Thai film won the Palme d'Or and explores reincarnation through a dying man?","Uncle Boonmee Who Can Recall His Past Lives","Tropical Malady","Syndromes and a Century",0,"Hard","Modern","International"
"In 'The Hunt' (2012), Mads Mikkelsen plays a man falsely accused of a crime in which country?","Denmark","Norway","Sweden",0,"Hard","Modern","International"
"Which 2021 Iranian film follows a man on leave from debtors' prison who finds a bag of gold?","A Hero","The Salesman","Taxi",0,"Hard","Modern","International"
"Which 2018 Lebanese film stars a non-professional child actor suing his parents for giving him life?","Capharnaüm","The Insult","Where Do We Go Now?",0,"Hard","Modern","International"
"In the 2015 film 'Victoria', how many camera takes were used for the 138-minute runtime?","One","Three","Five",0,"Hard","Modern","International"
"Which 2002 Russian film consists of a single 96-minute steady-cam shot through the Winter Palace?","Russian Ark","Sokol","The Island",0,"Hard","Modern","International"
"In 'Titane' (2021), the protagonist undergoes a physical transformation following what type of accident?","Car crash","Factory explosion","Plane crash",0,"Hard","Modern","International"
"In the 2010 film 'Inception', what is the term used for a dream within a dream?","Inception","Limbo","Extraction",0,"Medium","Modern","Domestic"
"Which 2019 film features a detective investigating the death of crime novelist Harlan Thrombey?","Knives Out","Glass Onion","Death on the Nile",0,"Medium","Modern","Domestic"
"In 'The Martian' (2015), Mark Watney survives on Mars by growing which crop?","Potatoes","Carrots","Corn",0,"Medium","Modern","Domestic"
"Which 2014 sci-fi film features a robot named TARS with a 'honesty' and 'humor' setting?","Interstellar","Ex Machina","Chappie",0,"Medium","Modern","Domestic"
"In the 2017 film 'Lady Bird', which California city serves as the setting?","Sacramento","San Francisco","Fresno",0,"Medium","Modern","Domestic"
"Which 2011 film about a silent movie star was the first silent film to win Best Picture since 1927?","The Artist","Hugo","Midnight in Paris",0,"Medium","Modern","Domestic"
"In 'Spider-Man: Into the Spider-Verse', what is the name of the organization run by Kingpin?","Alchemax","Oscorp","Stark Industries",0,"Medium","Modern","Domestic"
"Which 2019 war film was edited to appear as two continuous long takes?","1917","Dunkirk","Hacksaw Ridge",0,"Medium","Modern","Domestic"
"In 'The Grand Budapest Hotel', what is the name of the painting stolen by Gustave H.?","Boy with Apple","Girl with a Pearl Earring","The Goldfinch",0,"Medium","Modern","Domestic"
"Which 2015 film stars Charlize Theron as Imperator Furiosa?","Mad Max: Fury Road","Atomic Blonde","The Old Guard",0,"Medium","Modern","Domestic"
"In 'Arrival' (2016), Louise Banks is a professor of which subject?","Linguistics","Physics","History",0,"Medium","Modern","Domestic"
"Which 2010 film follows the creation of Facebook and the ensuing lawsuits?","The Social Network","Steve Jobs","Moneyball",0,"Medium","Modern","Domestic"
"In 'Birdman' (2014), Riggan Thomson is a washed-up actor famous for playing which superhero?","Birdman","Batman","Hawkman",0,"Medium","Modern","Domestic"
"Which 2017 film depicts the evacuation of Allied soldiers from a French beach in WWII?","Dunkirk","Darkest Hour","Atonement",0,"Medium","Modern","Domestic"
"In 'Moonlight' (2016), what are the three names the main character goes by throughout the film?","Little, Chiron, Black","Chiron, Kevin, Juan","Blue, Black, Little",0,"Medium","Modern","Domestic"
"Which 2019 film features a family living in the basement of a wealthy household's home?","Parasite","Us","The Menu",0,"Medium","Modern","Domestic"
"In 'Whiplash' (2014), Andrew Neiman attends which fictional prestigious music conservatory?","Shaffer Conservatory","Juilliard","Berklee",0,"Medium","Modern","Domestic"
"In 'The Handmaiden' (2016), the film is an adaptation of which Sarah Waters novel?","Fingersmith","Tipping the Velvet","The Night Watch",0,"Medium","Modern","International"
"Which 2012 Danish film stars Mads Mikkelsen as a man wrongly accused of child abuse?","The Hunt","Another Round","A Royal Affair",0,"Medium","Modern","International"
"In 'Amélie' (2001), what does the protagonist return to a man that she found behind a wall board?","A box of childhood toys","A stack of letters","A photo album",0,"Medium","Modern","International"
"Which 2018 Japanese film follows a family that survives through shoplifting and odd jobs?","Shoplifters","Our Little Sister","Nobody Knows",0,"Medium","Modern","International"
"In the 2003 film 'Oldboy', how many years was Oh Dae-su imprisoned for?","15 years","10 years","20 years",0,"Medium","Modern","International"
"Which 2021 Japanese film follows a stage director grieving his wife while working on a play?","Drive My Car","Wheel of Fortune and Fantasy","Burning",0,"Medium","Modern","International"
"In 'City of God' (2002), what is the nickname of the narrator who wants to be a photographer?","Rocket","Lil' Ze","Benny",0,"Medium","Modern","International"
"Which 2000 martial arts film was the first non-English film to earn over $100 million in the US?","Crouching Tiger, Hidden Dragon","Hero","House of Flying Daggers",0,"Medium","Modern","International"
"In 'Pan's Labyrinth' (2006), the story takes place during which historical conflict?","Post-Civil War Spain","World War II","The Spanish Civil War",0,"Medium","Modern","International"
"Which 2011 Iranian film follows a couple's decision to divorce and the complications that follow?","A Separation","The Salesman","About Elly",0,"Medium","Modern","International"
"In the 2014 film 'Wild Tales', how many standalone short stories make up the anthology?","Six","Five","Seven",0,"Medium","Modern","International"
"Which 2006 German film depicts the surveillance of residents by the Stasi in East Berlin?","The Lives of Others","Good Bye Lenin!","The Baader Meinhof Complex",0,"Medium","Modern","International"
"In 'Roma' (2018), what is the name of the neighborhood in Mexico City where the family lives?","Colonia Roma","Condesa","Polanco",0,"Medium","Modern","International"
"In the 2023 film 'Anatomy of a Fall', what breed of dog is the family pet, Snoop?","Border Collie","Golden Retriever","German Shepherd",0,"Easy","Modern","International"
"In the 2001 French film 'Amélie', what is the protagonist's occupation?","Waitress","Artist","Nurse",0,"Easy","Modern","International"
"In the 2023 'Barbie' movie, which actress plays the titular role?","Margot Robbie","Emma Stone","Florence Pugh",0,"Easy","Modern","Domestic"
"Which 2022 sequel saw Tom Cruise return to the cockpit after 36 years?","Top Gun: Maverick","Mission: Impossible - Dead Reckoning","Edge of Tomorrow 2",0,"Easy","Modern","Domestic"
"What is the name of the fictional African nation in the 'Black Panther' films?","Wakanda","Zamunda","Talokan",0,"Easy","Modern","Domestic"
"Justine Triet, director of 'Anatomy of a Fall', became the third woman to win which prestigious award at Cannes?","Palme d'Or","Grand Prix","Jury Prize",0,"Director Cut","Modern","International"
